parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
Dstar,10.0,0.6,104.28571428571429,0.02,23790.9281141983,104.2847124063381,34.5964,5.698412,1,1
f,10.0,0.6,104.28571428571429,0.02,0.09153800149977198,0.07084693046131728,0.07779051,0.026990639,1,0
D,10.0,0.6,104.28571428571429,0.08142857142857143,0.19931928964036943,0.17403079404997324,0.23688515,0.09539136,0,0
Dstar,10.0,0.6,104.28571428571429,0.08142857142857143,5843.385852610107,104.26911032850175,35.2867,6.638219,1,1
f,10.0,0.6,104.28571428571429,0.08142857142857143,0.091538001499772,0.07085402485395348,0.10468452,0.03096053,0,0
D,10.0,0.6,104.28571428571429,0.14285714285714285,0.21360383873126254,0.1865222200929395,0.30608428,0.16804965,0,0
Dstar,10.0,0.6,104.28571428571429,0.14285714285714285,3330.729935987762,104.23463480724867,38.19482,6.287009,1,1
f,10.0,0.6,104.28571428571429,0.14285714285714285,0.091538001499772,0.0708696948743873,0.11462513,0.03181082,0,0
D,10.0,0.6,104.28571428571429,0.20428571428571426,0.2300939016853816,0.20095358666888374,0.3745747,0.19038844,0,0
Dstar,10.0,0.6,104.28571428571429,0.20428571428571426,2329.1817734180154,104.18134196619859,35.55786,7.765173,1,1
f,10.0,0.6,104.28571428571429,0.20428571428571426,0.09153800149977201,0.07089390084852296,0.12255564,0.031347524,0,0
D,10.0,0.6,104.28571428571429,0.26571428571428574,0.24934300241003426,0.21781168517587063,0.4603097,0.2507422,0,0
Dstar,10.0,0.6,104.28571428571429,0.26571428571428574,1790.7150193482591,104.10931836762641,36.836853,11.062082,1,1
f,10.0,0.6,104.28571428571429,0.26571428571428574,0.09153800149977202,0.0709265816770727,0.1319756,0.04416696,0,0
D,10.0,0.6,104.28571428571429,0.3271428571428572,0.2721068009315447,0.23776104327734474,0.53156924,0.29666778,0,0
Dstar,10.0,0.6,104.28571428571429,0.3271428571428572,1454.4672209553542,104.0186806229615,36.620907,11.653692,1,1
f,10.0,0.6,104.28571428571429,0.3271428571428572,0.09153800149977198,0.07096765522760963,0.13262229,0.056911673,0,0
D,10.0,0.6,104.28571428571429,0.38857142857142857,0.2994446337354149,0.2617332090651079,0.6081359,0.4042674,0,0
Dstar,10.0,0.6,104.28571428571429,0.38857142857142857,1224.5330647013834,103.90957487060028,39.37485,12.808493,1,1
f,10.0,0.6,104.28571428571429,0.38857142857142857,0.09153800149977202,0.07101701885815688,0.13444898,0.057352923,0,0
D,10.0,0.6,104.28571428571429,0.45,0.3328890993214482,0.2910758674104658,0.62614095,0.38432398,0,0
Dstar,10.0,0.6,104.28571428571429,0.45,1057.3745828532578,103.78217612559382,41.904903,15.504648,1,1
f,10.0,0.6,104.28571428571429,0.45,0.09153800149977202,0.07107455006598755,0.12746798,0.06410208,0,0
D,10.0,0.6,120.0,0.02,0.18646556773494868,0.16300536621661915,0.17460278,0.07849293,0,0
Dstar,10.0,0.6,120.0,0.02,52086.12088261268,119.99968153039842,34.48901,4.907749,1,1
f,10.0,0.6,120.0,0.02,0.09122200038506394,0.07075293693710108,0.08146826,0.022230666,1,0
D,10.0,0.6,120.0,0.08142857142857143,0.19893527133153155,0.17390840969486868,0.23417807,0.10179318,0,0
Dstar,10.0,0.6,120.0,0.08142857142857143,12793.082322045215,119.99472120622612,34.96103,4.7216353,1,1
f,10.0,0.6,120.0,0.08142857142857143,0.09122200038506392,0.07075487387798635,0.10269399,0.028959572,0,0
D,10.0,0.6,120.0,0.14285714285714285,0.21319229911029122,0.18637710043726502,0.30225194,0.1483824,0,0
Dstar,10.0,0.6,120.0,0.14285714285714285,7292.056923565776,119.98375478568987,35.1197,5.2253513,1,1
f,10.0,0.6,120.0,0.14285714285714285,0.09122200038506391,0.0707591556475962,0.117673196,0.02671299,0,0
D,10.0,0.6,120.0,0.20428571428571426,0.2296505915012114,0.20077403531627805,0.3831557,0.18557891,0,0
Dstar,10.0,0.6,120.0,0.20428571428571426,5099.3405059900515,119.96678720795653,35.098244,9.21542,1,1
f,10.0,0.6,120.0,0.20428571428571426,0.09122200038506391,0.07076577924953778,0.1252382,0.031718474,0,0
D,10.0,0.6,120.0,0.26571428571428574,0.2488626059653206,0.21758314495744197,0.4479094,0.24341002,0,0
Dstar,10.0,0.6,120.0,0.26571428571428574,3920.460711594502,119.94382611031162,37.470383,9.654134,1,1
f,10.0,0.6,120.0,0.26571428571428574,0.09122200038506392,0.07077474005249623,0.12790462,0.04843924,0,0
D,10.0,0.6,120.0,0.3271428571428572,0.27158254663731385,0.2374650796459878,0.52565926,0.32982436,0,0
Dstar,10.0,0.6,120.0,0.3271428571428572,3184.3043334348363,119.91488181861766,36.97785,10.784488,1,1
f,10.0,0.6,120.0,0.3271428571428572,0.09122200038506394,0.07078603179848585,0.13252674,0.04049146,0,0
D,10.0,0.6,120.0,0.38857142857142857,0.29886770903311866,0.2613459820692165,0.5968785,0.46274647,0,0
Dstar,10.0,0.6,120.0,0.38857142857142857,2680.9032807227113,119.8799673344304,38.981945,15.058211,1,1
