baseline,label,paradigm,estimator,calibration,substrate,param,stratum,n,coverage,coverage_lo,coverage_hi,coverage_gap,coverage_gap_lo,coverage_gap_hi,ece,ece_lo,ece_hi,mean_width,mean_pinball,mean_interval_score,alpha,nominal,n_boot,provisional,ruler,substrate_seed,task_version
maf_cqr,MAF posterior + CQR,flow,maf,CQR,lattice,Dstar,dstar_high,1000,0.908,0.890494,0.926604,0.008,,,,,,64.6428,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,D,all,2500,0.8044,0.7892,0.8212,-0.0956,-0.1108,-0.0788,0.0416308,0.0352908,0.0484615,0.580715,0.0283617,0.808241,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,D,dstar_low,834,0.815348,0.790883,0.841335,-0.0846523,,,,,,0.564501,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,D,dstar_mid,833,0.79952,0.771113,0.827799,-0.10048,,,,,,0.534253,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,D,dstar_high,833,0.798319,0.77067,0.825247,-0.101681,,,,,,0.643411,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,f,all,2500,0.8156,0.80119,0.8312,-0.0844,-0.09881,-0.0688,0.0344923,0.0286438,0.0408931,0.147698,0.00768053,0.221042,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,f,dstar_low,834,0.830935,0.805339,0.855313,-0.0690647,,,,,,0.154573,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,f,dstar_mid,833,0.813926,0.788888,0.837397,-0.0860744,,,,,,0.136318,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,f,dstar_high,833,0.801921,0.774767,0.83036,-0.0980792,,,,,,0.152195,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,Dstar,all,2500,0.7704,0.754,0.786,-0.1296,-0.146,-0.114,0.0541846,0.0475377,0.0620623,92.187,6.99052,221.336,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,Dstar,dstar_low,834,0.76259,0.733092,0.789412,-0.13741,,,,,,66.2207,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,Dstar,dstar_mid,833,0.762305,0.732154,0.788394,-0.137695,,,,,,79.4444,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,osipi_dro,Dstar,dstar_high,833,0.786315,0.758393,0.812737,-0.113685,,,,,,130.927,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,osipi_dro,D,all,2500,0.898,0.886,0.9092,-0.002,-0.014,0.0092,0.0285846,0.0221223,0.0355385,0.426792,0.0326569,1.09078,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,osipi_dro,D,dstar_low,834,0.901679,0.881061,0.921272,0.00167866,,,,,,0.426792,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,osipi_dro,D,dstar_mid,833,0.891957,0.869401,0.912941,-0.00804322,,,,,,0.426792,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,osipi_dro,D,dstar_high,833,0.90036,0.880092,0.918826,0.000360144,,,,,,0.426792,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
