condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.110_N256,0.11,256,38,195,20265304,769.5,1,67.0,0.14979397091560606,0.8573001836606903
b0.110_N256,0.11,256,38,196,20265305,399.5,1,79.0,0.142540608906865,0.8572996267049062
b0.110_N256,0.11,256,38,197,20265306,1525.0,1,87.5,0.1542047025928052,0.8574028170971264
b0.110_N256,0.11,256,38,198,20265307,1777.0,1,46.5,0.1610046007978616,0.8573283395581556
b0.110_N256,0.11,256,38,199,20265308,305.0,1,57.0,0.14275581364452383,0.857314949735347
b0.110_N256,0.11,256,38,200,20265309,251.0,1,43.0,0.12658429819867892,0.8574144478514872
b0.110_N256,0.11,256,38,201,20265310,380.0,1,54.0,0.14163237027164502,0.8573005893208273
b0.110_N256,0.11,256,38,202,20265311,1548.0,1,65.0,0.15782757458073182,0.8573084573554576
b0.110_N256,0.11,256,38,203,20265312,1318.0,1,433.0,0.1244590458020606,0.5023820181270787
b0.110_N256,0.11,256,38,204,20265313,1140.0,1,69.5,0.14324873093133283,0.8573079043638379
b0.110_N256,0.11,256,38,205,20265314,360.0,1,66.5,0.12795526918976122,0.857304435731264
b0.110_N256,0.11,256,38,206,20265315,144.0,1,101.5,0.06335890571602308,0.8572992489613447
b0.110_N256,0.11,256,38,207,20265316,2930.5,1,62.5,0.15685861159025583,0.8573067289994001
b0.110_N256,0.11,256,38,208,20265317,212.5,1,46.0,0.1247971861560918,0.8575314725059136
b0.110_N256,0.11,256,38,209,20265318,1738.5,1,78.0,0.15363087289440658,0.8572984737426174
b0.110_N256,0.11,256,38,210,20265319,482.0,1,72.5,0.14876161509585326,0.8572990081438054
b0.110_N256,0.11,256,38,211,20265320,2837.0,1,34.5,0.1634850273025309,0.8573241624512201
b0.110_N256,0.11,256,38,212,20265321,1855.5,1,75.5,0.16244829264139382,0.8573024023262714
b0.110_N256,0.11,256,38,213,20265322,127.5,1,23.5,0.10987854869444848,0.8576194901147686
b0.110_N256,0.11,256,38,214,20265323,796.5,1,50.0,0.1565450207038346,0.8573190785228666
b0.110_N256,0.11,256,38,215,20265324,2491.5,1,98.0,0.1502031440371897,0.8573009960981139
b0.110_N256,0.11,256,38,216,20265325,599.0,1,8.0,0.15299217535706333,0.8572566130863323
b0.110_N256,0.11,256,38,217,20265326,594.0,1,27.5,0.15085570418462163,0.857432261594405
b0.110_N256,0.11,256,38,218,20265327,429.5,1,67.5,0.14243251637553506,0.8573005128555536
b0.110_N256,0.11,256,38,219,20265328,522.0,1,51.0,0.15799501136176963,0.8573063631533062
b0.110_N256,0.11,256,38,220,20265329,5062.5,1,54.5,0.16986932528953907,0.8573017286151919
b0.110_N256,0.11,256,38,221,20265330,314.0,1,25.0,0.1421809255288546,0.8574408743507487
b0.110_N256,0.11,256,38,222,20265331,448.0,1,55.0,0.133017191962266,0.8573257096938096
b0.110_N256,0.11,256,38,223,20265332,1356.5,1,24.0,0.1559830562368521,0.8512037311990153
b0.110_N256,0.11,256,38,224,20265333,646.5,1,221.5,0.15011599816607454,0.5023835856323633
b0.110_N256,0.11,256,38,225,20265334,1712.0,1,56.0,0.14838586724810884,0.8573038288141593
b0.110_N256,0.11,256,38,226,20265335,2591.0,1,20.5,0.1677362935861272,0.8575556414361198
b0.110_N256,0.11,256,38,227,20265336,3123.5,1,101.5,0.163133105355269,0.8573971798385851
b0.110_N256,0.11,256,38,228,20265337,164.5,1,38.5,0.10530737289481597,0.857291461026829
b0.110_N256,0.11,256,38,229,20265338,694.5,1,39.5,0.15104601070907694,0.8573094052892665
b0.110_N256,0.11,256,38,230,20265339,362.5,1,57.0,0.13227023453498038,0.8574565800425085
b0.110_N256,0.11,256,38,231,20265340,176.5,1,75.0,0.10755478898192136,0.8574755669605083
b0.110_N256,0.11,256,38,232,20265341,931.5,1,27.0,0.16276146426004226,0.8574329310791297
b0.110_N256,0.11,256,38,233,20265342,425.0,1,34.5,0.1516812651505614,0.8573023794091248
b0.110_N256,0.11,256,38,234,20265343,925.0,1,92.5,0.14936484408767736,0.8576709768131795
b0.110_N256,0.11,256,38,235,20265344,381.5,1,50.0,0.1411664805861723,0.8574460556012617
b0.110_N256,0.11,256,38,236,20265345,1827.0,1,432.5,0.13489491602632656,0.5023820292672794
b0.110_N256,0.11,256,38,237,20265346,674.0,1,38.0,0.14514752679231643,0.8576807768723496
b0.110_N256,0.11,256,38,238,20265347,632.5,1,10.5,0.14490395258874775,0.8574633107431882
b0.110_N256,0.11,256,38,239,20265348,621.0,1,73.0,0.15379344397237388,0.8572986210437668
b0.110_N256,0.11,256,38,240,20265349,195.0,1,74.0,0.0987394948064081,0.8573044825374615
b0.110_N256,0.11,256,38,241,20265350,1513.5,1,56.5,0.14749549976376325,0.8574688219075784
b0.110_N256,0.11,256,38,242,20265351,791.5,1,37.5,0.14684582992575007,0.8574644274507905
b0.110_N256,0.11,256,38,243,20265352,892.0,1,29.0,0.14832583047267775,0.8574158985478211
b0.110_N256,0.11,256,38,244,20265353,1539.5,1,47.5,0.16239364965051828,0.8576052350390053
b0.110_N256,0.11,256,38,245,20265354,2530.0,1,66.5,0.15317043412676878,0.8572991001369832
b0.110_N256,0.11,256,38,246,20265355,1580.0,1,60.5,0.15760796075479921,0.8573029489916071
b0.110_N256,0.11,256,38,247,20265356,1606.0,1,17.5,0.1473334450485918,0.8576220388760418
b0.110_N256,0.11,256,38,248,20265357,317.0,1,27.0,0.14729034358882848,0.8573254336188948
b0.110_N256,0.11,256,38,249,20265358,370.0,1,53.5,0.14800154088555245,0.8574750543647587
b0.110_N256,0.11,256,38,250,20265359,1035.5,1,12.0,0.16244899939241142,0.8575831260493506
b0.110_N256,0.11,256,38,251,20265360,1829.0,1,79.5,0.15781207753580384,0.8573030623448064
b0.110_N256,0.11,256,38,252,20265361,500.0,1,73.0,0.19192585605591875,0.8572990931284031
b0.110_N256,0.11,256,38,253,20265362,3217.0,1,28.0,0.16026901247281541,0.8573930581171877
b0.110_N256,0.11,256,38,254,20265363,401.0,1,12.0,0.15163277875601042,0.8573884649899258
b0.110_N256,0.11,256,38,255,20265364,230.0,1,45.5,0.13896652493694592,0.857409387009651
b0.110_N256,0.11,256,38,256,20265365,639.5,1,63.5,0.13136887686138068,0.8573014982383552
b0.110_N256,0.11,256,38,257,20265366,539.5,1,16.0,0.1752184756794917,0.857547459126405
b0.110_N256,0.11,256,38,258,20265367,1384.0,1,66.0,0.1581484714619594,0.8573411923257416
b0.110_N256,0.11,256,38,259,20265368,1659.5,1,76.5,0.1610851731480833,0.8571367620230176
b0.110_N256,0.11,256,38,260,20265369,190.0,1,65.5,0.10155256990178255,0.8573186036729387
b0.110_N256,0.11,256,38,261,20265370,2258.0,1,56.5,0.1622225465240788,0.8573006341147345
b0.110_N256,0.11,256,38,262,20265371,287.0,1,62.5,0.13699878877850857,0.857313839282049
b0.110_N256,0.11,256,38,263,20265372,159.5,1,14.5,0.1169902230883129,0.8576447539728138
b0.110_N256,0.11,256,38,264,20265373,651.0,1,41.5,0.1501769393281004,0.8573312604026277
b0.110_N256,0.11,256,38,265,20265374,498.5,1,88.0,0.14396124948984854,0.8573005231887858
b0.110_N256,0.11,256,38,266,20265375,410.5,1,77.0,0.12273089482583247,0.8572991872064926
b0.110_N256,0.11,256,38,267,20265376,680.0,1,27.0,0.15116990447643036,0.8576437295026965
b0.110_N256,0.11,256,38,268,20265377,1424.0,1,31.5,0.1505002710123232,0.857563678151082
b0.110_N256,0.11,256,38,269,20265378,491.0,1,69.5,0.14956321834616848,0.857301694907711
b0.110_N256,0.11,256,38,270,20265379,416.5,1,20.0,0.1600844504884384,0.8574888622938569
b0.110_N256,0.11,256,38,271,20265380,1543.5,1,74.0,0.15738500987587187,0.8572997053022866
b0.110_N256,0.11,256,38,272,20265381,497.0,1,30.0,0.1544463837538046,0.8573129410791492
