condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.130_N32,0.13,32,5,69,20264278,234.5,1,56.0,0.1304465678348669,0.8177679635460489
b0.130_N32,0.13,32,5,70,20264279,821.0,1,45.0,0.15582476456147887,0.8177671559205832
b0.130_N32,0.13,32,5,71,20264280,3491.0,1,28.0,0.16641328994571147,0.8177745563994927
b0.130_N32,0.13,32,5,72,20264281,4485.0,1,28.5,0.16566955912882383,0.817794450055317
b0.130_N32,0.13,32,5,73,20264282,427.5,1,60.0,0.14477971773594298,0.8177687862739537
b0.130_N32,0.13,32,5,74,20264283,3280.5,1,26.0,0.16707226637532055,0.8178733464704094
b0.130_N32,0.13,32,5,75,20264284,525.5,1,24.5,0.15793018607537077,0.8178583044766845
b0.130_N32,0.13,32,5,76,20264285,774.5,1,43.0,0.15916465086926088,0.8177680196961685
b0.130_N32,0.13,32,5,77,20264286,739.5,1,42.5,0.158192984593179,0.8177684027016298
b0.130_N32,0.13,32,5,78,20264287,1182.5,1,33.5,0.15752909730278603,0.8177687050347359
b0.130_N32,0.13,32,5,79,20264288,928.0,1,73.0,0.15787279324264478,0.8177692662914768
b0.130_N32,0.13,32,5,80,20264289,334.0,1,37.0,0.13967811555352028,0.8177760773058782
b0.130_N32,0.13,32,5,81,20264290,4110.5,1,42.0,0.16421349407358257,0.8177687128912343
b0.130_N32,0.13,32,5,82,20264291,1288.0,1,114.0,0.1564408093644539,0.8177768550399793
b0.130_N32,0.13,32,5,83,20264292,932.5,1,55.0,0.16361563217548117,0.8177681176834134
b0.130_N32,0.13,32,5,84,20264293,2595.0,1,70.5,0.16560417831589017,0.8177663822458182
b0.130_N32,0.13,32,5,85,20264294,671.0,1,34.5,0.15079678651083658,0.8177707891989873
b0.130_N32,0.13,32,5,86,20264295,491.5,1,54.0,0.1417548412842652,0.8177669739186254
b0.130_N32,0.13,32,5,87,20264296,2123.5,1,54.0,0.168088834300292,0.8177680839203108
b0.130_N32,0.13,32,5,88,20264297,412.5,1,85.0,0.13635555864187243,0.8177689049716004
b0.130_N32,0.13,32,5,89,20264298,182.0,1,49.0,0.12370482271931216,0.8177679557067987
b0.130_N32,0.13,32,5,90,20264299,3593.5,1,29.0,0.16529816812081366,0.8177715752772658
b0.130_N32,0.13,32,5,91,20264300,577.5,1,57.0,0.14814257759653843,0.8177687513488956
b0.130_N32,0.13,32,5,92,20264301,399.0,1,50.5,0.14741362745623138,0.8177690324103679
b0.130_N32,0.13,32,5,93,20264302,1436.0,1,55.5,0.16270727098968182,0.8177683439084209
b0.130_N32,0.13,32,5,94,20264303,708.0,1,53.5,0.1514041542003959,0.8177692712613823
b0.130_N32,0.13,32,5,95,20264304,376.5,1,53.5,0.1285989635517236,0.8177845061526801
b0.130_N32,0.13,32,5,96,20264305,1330.5,1,53.5,0.15929059011020785,0.8177681633621596
b0.130_N32,0.13,32,5,97,20264306,282.5,1,48.5,0.12375059068992438,0.8177694936773586
b0.130_N32,0.13,32,5,98,20264307,2643.5,1,56.5,0.16331445189193913,0.8177687447081615
b0.130_N32,0.13,32,5,99,20264308,325.5,1,55.5,0.1403473783672771,0.8177670583224262
b0.130_N32,0.13,32,5,100,20264309,591.5,1,44.5,0.15520279788469174,0.8177679440373311
b0.130_N32,0.13,32,5,101,20264310,2718.5,1,51.5,0.16443750889049621,0.8177677637514436
b0.130_N32,0.13,32,5,102,20264311,212.0,1,41.0,0.13978513315623017,0.817847637619493
b0.130_N32,0.13,32,5,103,20264312,597.5,1,48.5,0.15191655348573127,0.8177690585142833
b0.130_N32,0.13,32,5,104,20264313,970.5,1,56.5,0.16194632760671418,0.8177681795080737
b0.130_N32,0.13,32,5,105,20264314,1223.5,1,57.0,0.1645971624444978,0.8177664185215116
b0.130_N32,0.13,32,5,106,20264315,784.0,1,59.0,0.15221172367739821,0.8177955704996123
b0.130_N32,0.13,32,5,107,20264316,1184.0,1,57.0,0.17321152426244577,0.8177681559824743
b0.130_N32,0.13,32,5,108,20264317,998.5,1,45.5,0.16571958268106357,0.8177682648148009
b0.130_N32,0.13,32,5,109,20264318,571.0,1,56.0,0.15650287321914744,0.8177669487321629
b0.130_N32,0.13,32,5,110,20264319,358.0,1,56.0,0.12850634653114462,0.8177678022025968
b0.130_N32,0.13,32,5,111,20264320,927.5,1,56.0,0.16048709637254255,0.8177691080167354
b0.130_N32,0.13,32,5,112,20264321,1306.5,1,56.0,0.15678028801911464,0.8177664082665571
b0.130_N32,0.13,32,5,113,20264322,763.5,1,48.5,0.1689390309275145,0.8177676749525028
b0.130_N32,0.13,32,5,114,20264323,618.0,1,49.5,0.1593616660459213,0.8177688611096618
b0.130_N32,0.13,32,5,115,20264324,476.5,1,115.5,0.13393633138661637,0.8177737617406995
b0.130_N32,0.13,32,5,116,20264325,291.5,1,55.0,0.1338916791183678,0.8177675587887996
b0.130_N32,0.13,32,5,117,20264326,5231.0,1,50.0,0.16435512866842777,0.8177681658760336
b0.130_N32,0.13,32,5,118,20264327,337.5,1,33.5,0.1379898273530602,0.8177705653176552
b0.130_N32,0.13,32,5,119,20264328,2751.0,1,27.0,0.16341689405005597,0.8177697855622013
b0.130_N32,0.13,32,5,120,20264329,277.0,1,55.5,0.12872368781686597,0.8177664661956225
b0.130_N32,0.13,32,5,121,20264330,3195.0,1,55.5,0.16510977061255447,0.8177680264007173
b0.130_N32,0.13,32,5,122,20264331,582.5,1,43.0,0.1440822296779051,0.8177686836547772
b0.130_N32,0.13,32,5,123,20264332,296.5,1,32.0,0.14329310418378113,0.8177757623549667
b0.130_N32,0.13,32,5,124,20264333,1254.5,1,22.5,0.15320357016528452,0.8178064906057176
b0.130_N32,0.13,32,5,125,20264334,2293.5,1,34.5,0.1704899708338448,0.8177722958109112
b0.130_N32,0.13,32,5,126,20264335,174.5,1,39.0,0.08091519454765816,0.8177693642637516
b0.130_N32,0.13,32,5,127,20264336,1199.0,1,54.5,0.16109642231685825,0.817769618040439
b0.130_N32,0.13,32,5,128,20264337,812.5,1,34.5,0.16240634178893676,0.8177797681315163
b0.130_N32,0.13,32,5,129,20264338,1062.5,1,55.5,0.15926021508074928,0.8177685344188128
b0.130_N32,0.13,32,5,130,20264339,985.5,1,75.0,0.1570319660085805,0.8177667283366152
b0.130_N32,0.13,32,5,131,20264340,328.5,1,57.0,0.13735208896203271,0.8177694214869995
b0.130_N32,0.13,32,5,132,20264341,1558.5,1,32.5,0.1594673522308523,0.8177724071052972
b0.130_N32,0.13,32,5,133,20264342,1546.5,1,18.0,0.16314427867988496,0.8177769504760507
b0.130_N32,0.13,32,5,134,20264343,289.0,1,18.0,0.14310843112187613,0.8178956132401719
b0.130_N32,0.13,32,5,135,20264344,1221.5,1,16.0,0.15601999104385003,0.8177708799315021
b0.130_N32,0.13,32,5,136,20264345,391.0,1,56.5,0.13111168521201066,0.8177676038949953
b0.130_N32,0.13,32,5,137,20264346,1535.5,1,55.5,0.16402620359713524,0.817767121298146
b0.130_N32,0.13,32,5,138,20264347,827.5,1,11.0,0.16106391792341188,0.8178463777362295
b0.130_N32,0.13,32,5,139,20264348,208.0,1,44.0,0.11443972749740292,0.8177683028506065
b0.130_N32,0.13,32,5,140,20264349,3191.0,1,49.5,0.1656741643862732,0.8177683776567881
b0.130_N32,0.13,32,5,141,20264350,1031.0,1,47.5,0.1673062071661662,0.8177684453706247
b0.130_N32,0.13,32,5,142,20264351,249.5,1,56.5,0.1457341578942162,0.8177675118778381
b0.130_N32,0.13,32,5,143,20264352,1110.5,1,44.0,0.1632396195375904,0.817770498817268
b0.130_N32,0.13,32,5,144,20264353,414.5,1,46.5,0.13928567361588673,0.8177694259857893
b0.130_N32,0.13,32,5,145,20264354,215.0,1,27.5,0.156452232134248,0.8177814084327052
b0.130_N32,0.13,32,5,146,20264355,326.0,1,48.5,0.13581912292915282,0.8177682225186563
b0.130_N32,0.13,32,5,147,20264356,1272.0,1,18.5,0.16271582249410574,0.8178207093261831
b0.130_N32,0.13,32,5,148,20264357,1268.5,1,56.5,0.16699812189712315,0.8177684885297418
b0.130_N32,0.13,32,5,149,20264358,175.0,1,86.0,0.0812090954391627,0.8177667394813418
b0.130_N32,0.13,32,5,150,20264359,2144.0,1,58.0,0.1650726919110292,0.8177696267945713
b0.130_N32,0.13,32,5,151,20264360,580.0,1,27.5,0.14535336055734785,0.8177733168088951
b0.130_N32,0.13,32,5,152,20264361,1367.0,1,30.5,0.16266323544338024,0.817780104072717
b0.130_N32,0.13,32,5,153,20264362,410.5,1,26.5,0.16236130703030865,0.817808247502584
b0.130_N32,0.13,32,5,154,20264363,586.5,1,39.5,0.15704601412396485,0.8177746663974337
b0.130_N32,0.13,32,5,155,20264364,187.5,1,52.0,0.09207165875978464,0.8177694878715877
b0.130_N32,0.13,32,5,156,20264365,1759.5,1,49.0,0.16860091263583538,0.8177675603530673
b0.130_N32,0.13,32,5,157,20264366,311.0,1,65.5,0.1387944381761715,0.81776838932951
b0.130_N32,0.13,32,5,158,20264367,380.5,1,52.0,0.14438362306604616,0.8177685992399357
b0.130_N32,0.13,32,5,159,20264368,1030.0,1,48.5,0.16197415118915948,0.8177681496005091
b0.130_N32,0.13,32,5,160,20264369,206.0,1,49.0,0.1023458483829271,0.8177684299100038
b0.130_N32,0.13,32,5,161,20264370,1018.5,1,50.5,0.15668874516742612,0.8177683695360642
b0.130_N32,0.13,32,5,162,20264371,2038.5,1,28.5,0.17368741543131166,0.8177916477876701
b0.130_N32,0.13,32,5,163,20264372,1371.5,1,55.0,0.1606800035001713,0.8177699204602209
b0.130_N32,0.13,32,5,164,20264373,209.0,1,26.5,0.13410347367213998,0.8179058932960266
b0.130_N32,0.13,32,5,165,20264374,984.5,1,24.5,0.1578351558239476,0.8177754899388271
b0.130_N32,0.13,32,5,166,20264375,793.0,1,55.5,0.14658793596068911,0.817767179498346
b0.130_N32,0.13,32,5,167,20264376,1643.5,1,26.0,0.16048852542400904,0.8177772218149237
b0.130_N32,0.13,32,5,168,20264377,362.0,1,57.0,0.13718511727341154,0.8177682871876651
b0.130_N32,0.13,32,5,169,20264378,387.0,1,28.0,0.15101612519826085,0.8177854825869122
b0.130_N32,0.13,32,5,170,20264379,596.5,1,32.5,0.14765219219202633,0.8177691435554475
b0.130_N32,0.13,32,5,171,20264380,712.5,1,39.0,0.15252907531797624,0.8177737358454313
b0.130_N32,0.13,32,5,172,20264381,703.5,1,44.0,0.15596636714342002,0.8177679769061582
b0.130_N32,0.13,32,5,173,20264382,536.5,1,65.5,0.15285520959975524,0.8177697611672969
b0.130_N32,0.13,32,5,174,20264383,1240.5,1,37.5,0.17193067351599153,0.8177755190081217
b0.130_N32,0.13,32,5,175,20264384,1677.0,1,53.5,0.1654391727724954,0.8177684802218111
b0.130_N32,0.13,32,5,176,20264385,1697.5,1,48.0,0.16129255725153818,0.8177695852512739
b0.130_N32,0.13,32,5,177,20264386,253.5,1,53.0,0.12067421994300788,0.8177689949646624
b0.130_N32,0.13,32,5,178,20264387,1234.5,1,54.5,0.16273397430025008,0.8177679727812628
b0.130_N32,0.13,32,5,179,20264388,1088.0,1,51.0,0.1620719498096371,0.8177679968373872
b0.130_N32,0.13,32,5,180,20264389,713.0,1,56.0,0.15317852040457136,0.817768523269319
b0.130_N32,0.13,32,5,181,20264390,524.5,1,11.5,0.18032392847718393,0.8178975948162173
b0.130_N32,0.13,32,5,182,20264391,208.0,1,57.0,0.10737675761534761,0.8177684389923697
b0.130_N32,0.13,32,5,183,20264392,598.0,1,36.5,0.16172588797038587,0.8178215608514742
b0.130_N32,0.13,32,5,184,20264393,314.0,1,55.5,0.12927069530315838,0.8177672735724544
b0.130_N32,0.13,32,5,185,20264394,1641.0,1,75.0,0.16548296715646507,0.8177683348698318
b0.130_N32,0.13,32,5,186,20264395,424.0,1,55.0,0.1469052396934959,0.8177672134122018
b0.130_N32,0.13,32,5,187,20264396,2326.5,1,53.0,0.1643773826022677,0.8177683438576001
b0.130_N32,0.13,32,5,188,20264397,2587.0,1,56.5,0.16205264559683855,0.8177677357674582
b0.130_N32,0.13,32,5,189,20264398,3285.0,1,25.0,0.16483252320775996,0.8178860514855796
b0.130_N32,0.13,32,5,190,20264399,1119.5,1,36.0,0.16563334021289722,0.817769855494662
b0.130_N32,0.13,32,5,191,20264400,451.0,1,44.5,0.13942893564842607,0.8178184123153808
b0.130_N32,0.13,32,5,192,20264401,784.0,1,22.5,0.15672891098465652,0.817794551939372
b0.130_N32,0.13,32,5,193,20264402,259.0,1,22.5,0.15149439933628378,0.8178469396715807
b0.130_N32,0.13,32,5,194,20264403,534.5,1,68.0,0.14637694566255005,0.8177677960218974
b0.130_N32,0.13,32,5,195,20264404,2804.5,1,60.0,0.16567891423120895,0.8177668133249749
